Student_ID,Name,Gender,Age,Department,Region,Admission_Year,Semester_GPA,Attendance_%,Clubs,Hostel,Fee_Paid,Fee_Due,Placement_Status,Internship_Company,Exam_Date,Remarks
S1000,Kabir,Female,23.0,cse,North,2019,7.34,85%,Coding,Y,50000,,,Amazon,2023-05-12,
S1001,Kiran,female,18.0,it,south,2020,5.93,85%,,No,,10000.0,,Infosys,2023-05-12,Excellent
S1002,Kiran,M,23.0,ECE,East,2022,6.14,85%,Coding,Y,,0.0,PENDING,None,2021/13/05,avg
S1003,Priya,F,19.0,MECH,East,2023,8.36,58.93,None,Yes,,5000.0,Placed,IBM,,
S1004,Amit,male,22.0,CSE,North,2020,9.9,42.3,Drama,N,50000,2000.0,placed,None,05/11/2022,
S1005,Priya,M,20.0,Ece,South,2021,8.11,48.05,Sports,Y,99841,0.0,,TCS,2023-05-12,
S1006,Meera,male,200.0,ECE,South,2021,8.57,,Drama,No,,0.0,placed,IBM,2021/13/05,
S1007,Harsh,Male,,cse,East,2022,7.09,,music,N,50k,2000.0,Placed,Accenture,12-10-2021,Poor
S1008,Meera,Female,19.0,it,East,2023,9.39,,Sports,Yes,50000,,Placed,Flipkart,05/11/2022,
S1009,Meera,Male,23.0,cse,south,2019,9.92,92.49,Music,No,50k,,Placed,,05/11/2022,
S1010,Rahul,Male,23.0,Ece,West,2023,9.33,85%,None,N,,0.0,Not placed,Infosys,05/11/2022,
S1011,Kiran B,M,23.0,Civil,East,2022,4.18,85%,None,No,73011,2000.0,,TCS,,Poor
S1012,Meera,M,22.0,Civil,West,2021,8.33,,Sports,N,26865,2000.0,placed,Flipkart,2021/13/05,Good
S1013,Kiran,F,23.0,it,North,2021,5.85,54.42,None,,,,,Infosys,12-10-2021,avg
S1014,Zoya,Male,23.0,CIVIL,North,2023,7.67,63.81,Drama,Yes,50k,2000.0,Not placed,Infosys,2021/13/05,
S1015,Kabir A,male,,Civil,North,2022,9.82,,,,,2000.0,placed,Amazon,2021/13/05,
S1016,Harsh,M,200.0,Ece,south,20-21,6.26,,music,Yes,50k,,Placed,Wipro,,
S1017,Ali,M,18.0,Ece,South,2022,5.1,,Music,,50000,0.0,,Flipkart,2021/13/05,avg
S1018,Sneha,F,18.0,Ece,nORTH,20-21,9.13,47.1,Sports,N,,,Not placed,Infosys,2023-05-12,avg
S1019,Rohan,Male,19.0,it,nORTH,2019,,,Drama,Yes,88272,,Placed,Amazon,,Poor
S1020,Simran,Female,200.0,Civil,south,2019,,40.53,Coding,Y,50000,5000.0,placed,Accenture,,
S1021,Ali,F,19.0,CIVIL,south,2019,9.04,70.98,Sports,,43339,2000.0,Not placed,Amazon,,Excellent
S1022,Vikram,Male,22.0,MECH,East,2022,5.54,85%,Coding,N,,,Not placed,Infosys,2021/13/05,avg
S1023,Zoya A,Male,20.0,MECH,nORTH,2021,8.25,,Music,No,69368,2000.0,PENDING,Amazon,,
S1024,Kruti,F,,CIVIL,East,2021,7.31,85%,Coding,Y,50000,10000.0,Placed,Wipro,2023-05-12,avg
S1025,Rohan,Female,200.0,ECE,south,20-21,7.6,85%,music,N,50000,0.0,PENDING,Amazon,12-10-2021,Excellent
S1026,Ali,M,19.0,ECE,South,2020,9.54,79.26,music,Yes,50k,10000.0,PENDING,IBM,2021/13/05,Excellent
S1027,Zoya,M,19.0,IT,South,2022,4.95,,,N,50000,2000.0,placed,Google,2021/13/05,Excellent
S1028,Joy A,Male,22.0,Mech,South,2023,7.71,96.79,Coding,No,,5000.0,PENDING,Wipro,2023-05-12,Poor
S1029,Zoya,F,,MECH,North,2020,8.43,43.1,Drama,Y,83109,2000.0,Placed,Google,12-10-2021,
S1030,Sneha,Male,20.0,CIVIL,nORTH,2019,5.79,61.47,music,,65456,10000.0,,IBM,12-10-2021,Excellent
S1031,Rahul,Female,22.0,Ece,North,2020,5.95,74.56,Music,,50k,10000.0,placed,Accenture,2021/13/05,avg
S1032,Priya,male,22.0,CSE,West,2022,7.18,51.53,None,Y,,,Not placed,Amazon,,
S1033,Simran C,Male,21.0,MECH,East,2020,4.09,85%,None,N,84243,0.0,placed,None,2021/13/05,Poor
S1034,Fatima A,Female,18.0,ECE,south,2022,8.23,84.45,Coding,Y,41825,,PENDING,,,
S1035,Amit,male,21.0,cse,North,2019,6.85,85%,None,Y,44711,,PENDING,Wipro,2021/13/05,Poor
S1036,Aisha,Female,18.0,it,North,2022,9.75,85%,None,No,44406,10000.0,Placed,Flipkart,12-10-2021,avg
S1037,Jose,female,22.0,cse,East,2023,9.43,85%,,N,50000,0.0,Placed,Amazon,2021/13/05,avg
S1038,Ali,F,23.0,Ece,West,2019,4.8,85%,Drama,No,50000,10000.0,Placed,None,,
S1039,Sneha,male,,ECE,West,2023,5.9,,Coding,,50k,5000.0,,Google,2023-05-12,
S1040,Joy,Female,22.0,cse,nORTH,2019,4.48,,Sports,,,0.0,Placed,Accenture,,
S1041,Simran,female,18.0,it,nORTH,2022,9.23,49.35,Music,N,,5000.0,Placed,Infosys,05/11/2022,Poor
